title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes
Das Boot,movie,"Drama, War",1981,8.4,277635
Inside Man,movie,"Crime, Drama, Mystery",2006,7.6,410241
A Fistful of Dollars,movie,"Drama, Western",1964,7.9,241992
Chocolat,movie,"Drama, Romance",2000,7.2,206055
Kill Bill: Vol. 2,movie,"Action, Crime, Thriller",2004,8,832761
Basic Instinct,movie,"Drama, Mystery, Thriller",1992,7.1,229815
Driving Miss Daisy,movie,"Comedy, Drama",1989,7.3,120447
Summer in Berlin,movie,Drama,2005,6.9,3029
The Pianist,movie,"Biography, Drama, Music",2002,8.5,959600
Schindler's List,movie,"Biography, Drama, History",1993,9,1510744
The Day After Tomorrow,movie,"Action, Adventure, Sci-Fi",2004,6.5,494480
Sissi,movie,"Comedy, Drama, History",1955,7,10505
Sissi: The Young Empress,movie,"Drama, History",1956,6.6,7667
Sissi: The Fateful Years of an Empress,movie,"Drama, History, Romance",1957,6.6,6262
Erin Brockovich,movie,"Biography, Drama",2000,7.5,232010
As It Is in Heaven,movie,"Comedy, Drama, Music",2004,7.5,18660
My Own Private Idaho,movie,Drama,1991,6.9,64137
Stranger Than Paradise,movie,"Comedy, Drama",1984,7.4,41832
The African Queen,movie,"Adventure, Drama, Romance",1951,7.7,86445
Good Will Hunting,movie,"Drama, Romance",1997,8.3,1126396
The Seventh Seal,movie,"Drama, Fantasy",1957,8.1,206612
The Green Mile,movie,"Crime, Drama, Fantasy",1999,8.6,1472786
Reservoir Dogs,movie,"Crime, Thriller",1992,8.3,1125213
Poseidon,movie,"Action, Adventure, Thriller",2006,5.7,112634
Monster,movie,"Biography, Crime, Drama",2003,7.3,166967
Marnie,movie,"Crime, Drama, Mystery",1964,7.1,55887
Love Actually,movie,"Comedy, Drama, Romance",2003,7.6,556847
Notting Hill,movie,"Comedy, Drama, Romance",1999,7.2,361951
One Flew Over the Cuckoo's Nest,movie,Drama,1975,8.7,1109339
Casino,movie,"Crime, Drama",1995,8.2,587171
Once Were Warriors,movie,"Crime, Drama",1994,7.9,37969
Terminator Salvation,movie,"Action, Adventure, Sci-Fi",2009,6.5,384553
Flashdance,movie,"Drama, Music, Romance",1983,6.2,61607
D.E.B.S.,movie,"Action, Comedy, Romance",2004,5.4,18645
Rashomon,movie,"Crime, Drama, Mystery",1950,8.2,187903
Spider-Man,movie,"Action, Adventure, Sci-Fi",2002,7.4,915535
Spider-Man 2,movie,"Action, Adventure, Sci-Fi",2004,7.5,739927
Spider-Man 3,movie,"Action, Adventure, Sci-Fi",2007,6.3,663302
Constantine,movie,"Action, Fantasy, Horror",2005,7,389276
The Mummy,movie,"Action, Adventure, Fantasy",1999,7.1,479097
Apollo 13,movie,"Adventure, Drama, History",1995,7.7,324691
The Birds,movie,"Drama, Horror, Mystery",1963,7.6,211903
Next Door,movie,"Mystery, Thriller",2005,6.4,10872
The Lives of Others,movie,"Drama, Mystery, Thriller",2006,8.4,425132
2 Fast 2 Furious,movie,"Action, Crime, Thriller",2003,5.9,308208
Big Fish,movie,"Adventure, Drama, Fantasy",2003,8,467701
Silent Hill,movie,"Horror, Mystery",2006,6.5,251359
The Da Vinci Code,movie,"Mystery, Thriller",2006,6.6,470243
The Conversation,movie,"Drama, Mystery, Thriller",1974,7.7,128701
The Terminal,movie,"Comedy, Drama, Romance",2004,7.4,511077
Titanic,movie,"Drama, Romance",1997,7.9,1330018
City of God,movie,"Crime, Drama",2002,8.6,831647
The Matrix,movie,"Action, Sci-Fi",1999,8.7,2138289
The Matrix Reloaded,movie,"Action, Sci-Fi",2003,7.2,648689
The Matrix Revolutions,movie,"Action, Sci-Fi",2003,6.7,558483
Out of Africa,movie,"Biography, Drama, Romance",1985,7.1,88997
Men in Black,movie,"Action, Adventure, Comedy",1997,7.3,634967
Men in Black II,movie,"Action, Adventure, Comedy",2002,6.2,416366
Wild Strawberries,movie,"Drama, Romance",1957,8.1,119440
Wild Things,movie,"Crime, Drama, Mystery",1998,6.6,135486
The Bodyguard,movie,"Drama, Music, Romance",1992,6.4,153002
Ghostbusters,movie,"Action, Comedy, Fantasy",1984,7.8,467800
Grease,movie,"Comedy, Musical, Romance",1978,7.2,312132
The Ninth Gate,movie,"Mystery, Thriller",1999,6.7,203525
Easy Rider,movie,"Adventure, Drama",1969,7.2,120046
Interview with the Vampire,movie,"Drama, Fantasy, Horror",1994,7.5,360543
Bridget Jones's Diary,movie,"Comedy, Drama, Romance",2001,6.8,276060
Life Is Beautiful,movie,"Comedy, Drama, Romance",1997,8.6,771991
Boyz n the Hood,movie,"Crime, Drama",1991,7.8,161106
Troy,movie,"Action, Adventure, Drama",2004,7.3,589393
Saw IV,movie,"Horror, Mystery, Thriller",2007,5.9,170398
Central Station,movie,Drama,1998,8,47286
Oldboy,movie,"Action, Drama, Mystery",2003,8.3,671851
Harry Potter and the Sorcerer's Stone,movie,"Adventure, Family, Fantasy",2001,7.7,897335
Harry Potter and the Chamber of Secrets,movie,"Adventure, Family, Fantasy",2002,7.4,723621
Harry Potter and the Prisoner of Azkaban,movie,"Adventure, Family, Fantasy",2004,7.9,723505
Harry Potter and the Goblet of Fire,movie,"Adventure, Family, Fantasy",2005,7.7,711980
Harry Potter and the Order of the Phoenix,movie,"Action, Adventure, Family",2007,7.5,661304
Pulp Fiction,movie,"Crime, Drama",1994,8.9,2314752
Meet the Fockers,movie,"Comedy, Romance",2004,6.3,294239
The Piano,movie,"Drama, Music, Romance",1993,7.5,97869
Together,movie,"Comedy, Drama, Romance",2000,7.4,24943
Top Gun,movie,"Action, Drama",1986,7,522477
The Last Emperor,movie,"Biography, Drama, History",1987,7.7,115186
Shaun of the Dead,movie,"Comedy, Horror",2004,7.9,615799
V for Vendetta,movie,"Action, Drama, Sci-Fi",2005,8.1,1209159
The Evil Dead,movie,Horror,1981,7.4,241220
Harry Potter and the Half-Blood Prince,movie,"Action, Adventure, Family",2009,7.6,622980
Goodfellas,movie,"Biography, Crime, Drama",1990,8.7,1313463
Gandhi,movie,"Biography, Drama, History",1982,8,243253
Kolya,movie,"Comedy, Drama, Music",1996,7.7,16533
Mr. & Mrs. Smith,movie,"Action, Comedy, Crime",2005,6.5,563392
Closely Watched Trains,movie,"Comedy, Drama, Romance",1966,7.6,14335
The Fog,movie,"Horror, Mystery",2005,3.7,40150
City of Angels,movie,"Drama, Fantasy, Romance",1998,6.7,130924
Persona,movie,"Drama, Thriller",1966,8,135377
Se7en,movie,"Crime, Drama, Mystery",1995,8.6,1891687
Shrek,movie,"Adventure, Animation, Comedy",2001,7.9,766384
Shrek 2,movie,"Adventure, Animation, Comedy",2004,7.4,526640
Shrek the Third,movie,"Adventure, Animation, Comedy",2007,6.1,344814
Austin Powers: International Man of Mystery,movie,"Adventure, Comedy",1997,7,264620
Austin Powers: The Spy Who Shagged Me,movie,"Action, Adventure, Comedy",1999,6.7,255095
Underworld: Evolution,movie,"Action, Fantasy, Thriller",2006,6.7,213309
Barren Lives,movie,Drama,1963,7.5,3132
Close Encounters of the Third Kind,movie,"Drama, Sci-Fi",1977,7.6,224295
Dune,movie,"Action, Adventure, Sci-Fi",1984,6.3,186831
In the Mood for Love,movie,"Drama, Romance",2000,8.1,175467
2046,movie,"Drama, Romance, Sci-Fi",2004,7.4,63502
The Mask,movie,"Comedy, Crime, Fantasy",1994,7,442452
Black Hawk Down,movie,"Action, Drama, History",2001,7.7,437216
Saving Private Ryan,movie,"Drama, War",1998,8.6,1557234
Sleepless in Seattle,movie,"Comedy, Drama, Romance",1993,6.8,197570
The Running Man,movie,"Action, Sci-Fi, Thriller",1987,6.6,173409
Tsotsi,movie,"Crime, Drama",2005,7.2,31937
A Man for All Seasons,movie,"Biography, Drama, History",1966,7.7,38446
Hook,movie,"Adventure, Comedy, Family",1991,6.8,280966
The Flintstones,movie,"Comedy, Family, Fantasy",1994,5,88906
Cinderella Man,movie,"Biography, Drama, Romance",2005,8,203463
Do the Right Thing,movie,"Comedy, Drama",1989,8,117272
Godzilla,movie,"Action, Sci-Fi, Thriller",1998,5.5,208010
Lawrence of Arabia,movie,"Adventure, Biography, Drama",1962,8.3,326893
Halloween,movie,"Horror, Thriller",1978,7.7,321545
Madagascar,movie,"Adventure, Animation, Comedy",2005,6.9,454970
Mission: Impossible,movie,"Action, Adventure, Thriller",1996,7.2,485402
Mission: Impossible II,movie,"Action, Adventure, Thriller",2000,6.1,389119
Mission: Impossible III,movie,"Action, Adventure, Thriller",2006,6.9,401722
Seven Years in Tibet,movie,"Adventure, Biography, Drama",1997,7.1,160970
Irreversible,movie,"Crime, Drama, Mystery",2002,7.3,153990
Adam's Apples,movie,"Comedy, Crime, Drama",2005,7.7,56470
Whale Rider,movie,"Drama, Family",2002,7.5,44686
Point Break,movie,"Action, Crime, Thriller",1991,7.3,212013
The Thirteenth Floor,movie,"Mystery, Sci-Fi, Thriller",1999,7,79494
The Prestige,movie,"Drama, Mystery, Sci-Fi",2006,8.5,1502177
Dreamgirls,movie,"Drama, Musical",2006,6.6,78700
Babel,movie,Drama,2006,7.5,322987
The Queen,movie,"Biography, Drama",2006,7.3,117452
The Talented Mr. Ripley,movie,"Crime, Drama, Thriller",1999,7.4,259630
The Remains of the Day,movie,"Drama, Romance",1993,7.8,88063
The Good Shepherd,movie,"Drama, History, Thriller",2006,6.7,110369
Ghost Rider,movie,"Action, Fantasy, Thriller",2007,5.3,259551
Letters from Iwo Jima,movie,"Action, Adventure, Drama",2006,7.8,173184
"Don't Worry, I'm Fine",movie,Drama,2006,7.3,11521
The Host,movie,"Drama, Horror, Sci-Fi",2006,7.1,137381
Bridge to Terabithia,movie,"Drama, Family, Fantasy",2007,7.2,180751
Mr. Bean's Holiday,movie,"Comedy, Family",2007,6.4,137634
300,movie,"Action, Drama",2006,7.6,886404
TMNT,movie,"Action, Adventure, Animation",2007,6.2,70603
3-Iron,movie,"Crime, Drama, Romance",2004,7.9,59670
Bean,movie,"Adventure, Comedy, Family",1997,6.5,113384
"Torrente, the Dumb Arm of the Law",movie,"Comedy, Crime",1998,6.8,14082
Torrente 2: Mission in Marbella,movie,"Action, Comedy, Crime",2001,6.4,8227
Torrente 3: El protector,movie,"Comedy, Crime",2005,5.6,6493
Four Minutes,movie,"Drama, Music",2006,7.3,7579
American Psycho,movie,"Crime, Drama, Horror",2000,7.6,769620
Frida,movie,"Biography, Drama, Romance",2002,7.3,97736
Sex and Lucía,movie,"Drama, Romance",2001,7,39620
Monster's Ball,movie,"Drama, Romance",2001,7,96045
First Blood,movie,"Action, Adventure, Thriller",1982,7.7,287109
Rambo: First Blood Part II,movie,"Action, Adventure, Thriller",1985,6.5,188670
Rambo III,movie,"Action, Adventure, Thriller",1988,5.8,144401
Blood Diamond,movie,"Adventure, Drama, Thriller",2006,8,603912
Lights in the Dusk,movie,"Crime, Drama",2006,6.8,8380
Y tu mamá también,movie,Drama,2001,7.7,133477
The Pursuit of Happyness,movie,"Biography, Drama",2006,8,586585
Cutthroat Island,movie,"Action, Adventure, Comedy",1995,5.7,31718
"Sex, Lies, and Videotape",movie,Drama,1989,7.2,61646
Pan's Labyrinth,movie,"Drama, Fantasy, War",2006,8.2,721103
Take My Eyes,movie,"Drama, Romance",2003,7.4,7666
The Departed,movie,"Crime, Drama, Thriller",2006,8.5,1476124
Perfume: The Story of a Murderer,movie,"Crime, Drama, Fantasy",2006,7.5,272009
Once Upon a Time in Mexico,movie,"Action, Crime, Thriller",2003,6.3,173076
Little Children,movie,"Drama, Romance",2006,7.5,119239
The Virgin Suicides,movie,"Drama, Romance",1999,7.2,177428
Hellboy,movie,"Action, Adventure, Fantasy",2004,6.9,359798
Miss Congeniality,movie,"Action, Comedy, Crime",2000,6.3,238572
Curse of the Golden Flower,movie,"Action, Drama, Romance",2006,7,46623
Spy Game,movie,"Action, Crime, Thriller",2001,7.1,171796
Changing Lanes,movie,"Drama, Thriller",2002,6.5,76164
The Lost Boys,movie,"Comedy, Horror",1987,7.2,168628
Down by Law,movie,"Comedy, Crime, Drama",1986,7.6,56852
The Spanish Apartment,movie,"Comedy, Drama, Romance",2002,7.3,43362
Resident Evil,movie,"Action, Horror, Sci-Fi",2002,6.6,297710
Resident Evil: Apocalypse,movie,"Action, Horror, Sci-Fi",2004,6.1,214865
The Holiday,movie,"Comedy, Romance",2006,7,346500
Lammbock,movie,"Comedy, Crime",2001,7.2,12100
School of Rock,movie,"Comedy, Music",2003,7.2,342892
Secret Window,movie,"Drama, Mystery, Thriller",2004,6.5,215005
What's Eating Gilbert Grape,movie,Drama,1993,7.7,260730
Bring It On,movie,"Comedy, Romance, Sport",2000,6.2,109471
Meet the Parents,movie,"Comedy, Romance",2000,7,366165
Cape Fear,movie,"Crime, Thriller",1991,7.3,225290
Hitman,movie,"Action, Crime, Thriller",2007,6.2,182503
Liar Liar,movie,"Comedy, Fantasy",1997,6.9,347139
The People vs. Larry Flynt,movie,"Biography, Drama",1996,7.3,102998
Free Willy,movie,"Adventure, Drama, Family",1993,6,85656
The Island,movie,"Action, Sci-Fi, Thriller",2005,6.8,333318
The Net,movie,"Action, Crime, Drama",1995,6,76638
Freedom Writers,movie,"Biography, Crime, Drama",2007,7.6,88263
The Motorcycle Diaries,movie,"Adventure, Biography, Drama",2004,7.7,106540
The Legend of Zorro,movie,"Action, Adventure, Romance",2005,6,110592
Hostel,movie,Horror,2005,5.9,197153
Hostel: Part II,movie,Horror,2007,5.5,98824
Anatomy,movie,"Horror, Thriller",2000,6,14354
The Cider House Rules,movie,"Drama, Romance",1999,7.4,106955
The Incredible Hulk,movie,"Action, Adventure, Sci-Fi",2008,6.6,540231
Iron Man,movie,"Action, Adventure, Sci-Fi",2008,7.9,1164281
The Forbidden Kingdom,movie,"Action, Adventure, Fantasy",2008,6.5,111244
The Mummy Returns,movie,"Action, Adventure, Fantasy",2001,6.4,356097
Next,movie,"Action, Sci-Fi, Thriller",2007,6.2,169951
Footloose,movie,"Drama, Music, Romance",1984,6.6,97303
The Devil's Advocate,movie,"Drama, Fantasy, Mystery",1997,7.5,419660
"You, Me and Dupree",movie,"Comedy, Romance",2006,5.6,85329
50 First Dates,movie,"Comedy, Drama, Romance",2004,6.8,395817
Russian Dolls,movie,"Comedy, Drama, Romance",2005,7,21591
Rent,movie,"Drama, Musical, Romance",2005,6.8,56894
We Shall Overcome,movie,"Drama, Family",2006,7.2,3019
Transformers,movie,"Action, Adventure, Sci-Fi",2007,7.1,693608
Fantomas Unleashed,movie,"Adventure, Comedy, Crime",1965,6.8,8711
Fantomas,movie,"Adventure, Comedy, Crime",1964,6.9,12763
Fantomas vs. Scotland Yard,movie,"Adventure, Comedy, Crime",1967,6.7,8283
The Karate Kid,movie,"Action, Drama, Family",1984,7.3,256534
Marie Antoinette,movie,"Biography, Drama, History",2006,6.5,126497
Traffic,movie,"Crime, Drama, Thriller",2000,7.6,224160
Open Your Eyes,movie,"Drama, Mystery, Sci-Fi",1997,7.7,74941
