title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes
Serial Bad Weddings,movie,Comedy,2014,7,46699
The World of Liberace,movie,Documentary,1973,6.6,52
The cheat,movie,Drama,1949,7.2,478
Shinjuku Swan,movie,"Action, Crime, Drama",2015,6,1300
Lovely Man,movie,Drama,2011,7.6,626
Ordet,movie,Drama,1943,7.1,342
Story of a Godfather,movie,"Crime, Drama, Thriller",2013,6.8,399
The Royal Bengal Tiger,movie,Thriller,2014,6.8,1094
Jim Gaffigan: Obsessed,movie,"Comedy, Documentary",2014,7.6,2510
"Crouching Tiger, Hidden Dragon: Sword of Destiny",movie,"Action, Adventure, Drama",2016,6.1,21297
So Little Time,movie,"Drama, Romance, War",1952,6.8,290
Anaamika,movie,Thriller,2014,5.5,336
King of the Night,movie,Drama,1975,6.5,270
Knock Knock,movie,"Crime, Thriller",2015,4.9,109594
Virunga,movie,"Documentary, War",2014,8.1,12482
Time Lock,movie,Thriller,1957,6.1,610
Broken,movie,"Action, Drama, Thriller",2014,6.7,1545
The Anderssons Hit the Road,movie,"Comedy, Family",2013,3.8,1477
You're Killing Me Susana,movie,"Comedy, Drama, Romance",2016,6.4,2462
Huevos: Little Rooster's Egg-cellent Adventure,movie,"Adventure, Animation, Comedy",2015,5.7,1279
Perfect Obedience,movie,Drama,2014,6.4,1131
The Perfect Dictatorship,movie,"Comedy, Drama",2014,7.2,6401
The Obscure Spring,movie,Drama,2014,6,966
Operation Bullshine,movie,"Comedy, Romance, War",1959,5.6,216
Room,movie,"Drama, Thriller",2015,8.1,465191
The Homesman,movie,"Drama, Western",2014,6.6,36984
Ex Machina,movie,"Drama, Sci-Fi, Thriller",2014,7.7,613679
Off Course,movie,Comedy,2015,5.8,5612
The Best Bet,movie,"Comedy, Drama",2004,6.3,129
L'oro di Scampia,movie,"Biography, Drama, Sport",2014,6.8,133
Now and Forever,movie,"Drama, Romance, Thriller",1956,6.3,208
Magic Mike XXL,movie,"Comedy, Drama, Music",2015,5.6,62469
A Friend Will Come Tonight,movie,"Drama, War",1946,6.3,135
Mommy,movie,Drama,2014,8,63674
Wild Tales,movie,"Comedy, Drama, Thriller",2014,8.1,226363
Wild Card,movie,"Action, Crime, Drama",2015,5.6,62015
Bad Boys,movie,"Biography, Documentary, History",2014,8.2,2017
The Last Incubus,movie,"Fantasy, Romance",2014,4,127
Witches Don't Exist,movie,"Adventure, Family, Fantasy",2014,4.6,165
Stand by Me Doraemon,movie,"Animation, Comedy, Drama",2014,7.3,10041
No Tears for the Dead,movie,"Action, Crime, Drama",2014,6.7,7502
A Girl at My Door,movie,Drama,2014,7,3340
Girlhood,movie,Drama,2014,6.9,10302
Sisters,movie,Comedy,2015,6,71271
In My Dreams,movie,"Drama, Family, Romance",2014,6.3,6321
Josépha,movie,Drama,1982,6,152
The Gunman,movie,"Action, Crime, Mystery",2015,5.8,44093
Dr. Cabbie,movie,Comedy,2014,6,3908
The Theory of Everything,movie,"Biography, Drama, Romance",2014,7.7,494191
Love of My Loves,movie,Comedy,2014,6.2,1003
The Brothers Grimsby,movie,"Action, Adventure, Comedy",2016,6.2,114806
The Young Man,movie,"Crime, Drama",1994,6.2,68
The Hole,movie,"Drama, Thriller",1997,6.2,174
City of the Rising Sun,movie,"Crime, Drama",1998,6.6,473
Heartstopper,movie,Horror,1989,4.7,168
The Target,movie,"Action, Thriller",2014,6.2,2218
The Look of Silence,movie,"Biography, Documentary, History",2014,8.3,14318
I Am a Dancer,movie,"Biography, Documentary, Music",1972,6.7,79
A Boyfriend for my Wife,movie,"Comedy, Romance",2014,5.5,583
Man on High Heels,movie,"Action, Drama",2014,6.6,1502
Elvira I Will Give You My Life But I'm Using It,movie,"Comedy, Drama",2014,6.5,1597
London Has Fallen,movie,"Action, Thriller",2016,5.9,174773
The BFG,movie,"Adventure, Family, Fantasy",2016,6.3,96068
Casa Grande,movie,"Drama, Romance",2014,6.8,3255
Woman Without a Face,movie,Drama,1947,6.5,434
Guardians of Oz,movie,"Adventure, Animation, Fantasy",2015,4.5,290
The Legend of the Mummies of Guanajuato,movie,"Animation, Family",2014,5.7,441
Pacific Rim: Uprising,movie,"Action, Adventure, Sci-Fi",2018,5.6,132022
Pink Guinea Pig,movie,"Comedy, Romance",2014,6.8,469
Maria and Her Shadow,movie,Documentary,2013,6.3,18
The Fatal Encounter,movie,"Action, Drama",2014,6.7,1356
A Hard Day,movie,"Action, Crime, Thriller",2014,7.2,17451
Babovresky 2,movie,Comedy,2014,3.1,182
El cumple de la abuela,movie,Comedy,2015,5.8,584
Little Baby Jesus,movie,"Comedy, Romance",2013,4.4,154
Appleseed Alpha,movie,"Action, Adventure, Animation",2014,6.5,9331
Obsessed,movie,Drama,2014,6.3,2728
Excuse My French,movie,"Comedy, Drama",2014,7.5,5153
It Follows,movie,"Horror, Mystery, Thriller",2014,6.8,284923
Domino Effect,movie,"Documentary, Drama, Family",2014,6.8,81
"Hail, Caesar!",movie,"Comedy, Drama, Mystery",2016,6.3,146155
One on One,movie,"Crime, Drama, Thriller",2014,5.7,1197
Skiptrace,movie,"Action, Adventure, Comedy",2016,5.6,23041
Bez litosci,movie,"Action, Crime",2002,5.2,149
Refugiado,movie,"Drama, Thriller",2014,6.3,449
Number One Fan,movie,"Comedy, Drama, Thriller",2014,6.5,2019
Dilema,movie,"Crime, Drama",2011,7.1,80
Penguins of Madagascar,movie,"Action, Adventure, Animation",2014,6.6,107902
Singapore GaGa,movie,Documentary,2005,6.3,58
La mujer que hablaba con los muertos,movie,"Comedy, Horror",2014,3.4,83
The Song,movie,"Drama, Music, Romance",2014,5.9,2351
Heropanti,movie,"Action, Drama, Romance",2014,5.2,10940
Beyond Skyline,movie,"Action, Adventure, Horror",2017,5.3,24100
Wir sind die Neuen,movie,Comedy,2014,6.6,1721
Space Brothers,movie,"Animation, Comedy, Sci-Fi",2014,7.5,154
Suite Française,movie,"Drama, History, Romance",2014,7,29509
Trainwreck,movie,"Comedy, Drama, Romance",2015,6.2,144865
The Program,movie,"Biography, Drama, Sport",2015,6.5,19885
The Tree and the Swing,movie,"Drama, Family, History",2013,6.3,267
The Cage,movie,"Crime, Drama, Thriller",1975,6.3,549
Ah Fei,movie,Drama,1984,7.4,125
Clouds are not Spheres,movie,Documentary,1995,7,107
Bobby Jasoos,movie,"Comedy, Drama, Thriller",2014,5.5,2471
Tour du Faso,movie,Documentary,2014,6.5,84
Salaakhen,movie,"Action, Thriller",1975,5.7,91
Gyeongju,movie,Drama,2014,6.8,509
Sea Fog,movie,"Drama, Thriller",2014,6.8,4044
The DUFF,movie,"Comedy, Romance",2015,6.4,104253
Noche de vino tinto,movie,Drama,1967,6.1,236
Los dan Faun,movie,"Action, Comedy, Crime",2008,6.2,58
Zwei Tage Hoffnung,movie,Drama,2003,6.1,143
French Women,movie,"Comedy, Romance",2014,5.3,2432
The Great Hypnotist,movie,"Drama, Mystery, Thriller",2014,6.9,3199
The Hateful Eight,movie,"Crime, Drama, Mystery",2015,7.8,686526
I'll Follow You Down,movie,"Drama, Mystery, Sci-Fi",2013,6.1,8360
It Exists,movie,Horror,2014,,
Sonny Boy & Dewdrop Girl,movie,"Adventure, Animation, Family",2013,6.4,176
Shashinkan,movie,"Animation, Drama, Short",2013,7.4,118
Mother Nanny,movie,Drama,2006,7.7,110
Maybe This Time,movie,"Comedy, Drama, Romance",2014,6.6,168
Selma,movie,"Biography, Drama, History",2014,7.5,97231
Daddy's Home,movie,"Comedy, Family",2015,6.2,133964
Trailer Park Boys: Live in F**kin' Dublin,movie,Comedy,2014,6.2,1755
Bob Wilson's Life & Death of Marina Abramovic,movie,Documentary,2012,6.8,152
Animal,movie,"Action, Adventure, Drama",2014,4.7,7677
The Last Witch Hunter,movie,"Action, Adventure, Fantasy",2015,5.9,112488
Geostorm,movie,"Action, Sci-Fi, Thriller",2017,5.3,124996
Chance of a Lifetime,movie,"Comedy, Drama",1950,6.8,326
King Arthur: Legend of the Sword,movie,"Action, Adventure, Drama",2017,6.7,239326
The Lego Ninjago Movie,movie,"Action, Adventure, Animation",2017,6.1,31573
Dangerous Youth,movie,"Crime, Drama, Musical",1957,5.7,122
Passengers,movie,"Drama, Romance, Sci-Fi",2016,7,470648
The Disappearance of Eleanor Rigby: Her,movie,"Drama, Romance",2013,6.8,9916
Wazir,movie,"Crime, Drama, Mystery",2016,7.1,20355
Beer Is Cheaper Than Therapy,movie,"Documentary, News",2011,6.3,194
Ricki and the Flash,movie,"Comedy, Drama, Music",2015,6,25369
All This Mayhem,movie,"Biography, Documentary, History",2014,7.8,3872
Cuba feliz,movie,"Documentary, Music",2000,6.6,252
Wkreceni,movie,Comedy,2014,4.5,705
Comet,movie,"Comedy, Drama, Romance",2014,6.7,20001
Humpty Sharma Ki Dulhania,movie,"Comedy, Drama, Romance",2014,6,14566
Everly,movie,"Action, Thriller",2014,5.1,19822
Just a Little Chemistry,movie,"Comedy, Romance",2015,5.2,775
Three Sisters,movie,"Drama, Romance",1970,6.3,524
Happy New Year,movie,"Action, Comedy, Drama",2014,5,42511
Playing It Cool,movie,"Comedy, Romance",2014,5.9,31010
Unfriended,movie,"Horror, Mystery, Thriller",2014,5.6,84320
Abang Long Fadil,movie,"Action, Comedy, Crime",2014,5.1,186
Pattaya,movie,Comedy,2016,4.8,1969
Rätten att älska,movie,Drama,1956,5.7,103
Anjaan,movie,"Action, Crime, Drama",2014,5.3,6316
What the Fish,movie,"Adventure, Comedy, Drama",2013,5,243
We Are Moluccans,movie,"Biography, Drama, Sport",2014,7.9,233
Het gezin van Paemel,movie,"Drama, History",1986,6.8,365
Maytime in Mayfair,movie,"Comedy, Musical, Romance",1949,5.8,250
Frontline: Battle for Haiti,movie,,2011,,
A Grain of Truth,movie,"Crime, Thriller",2015,6.6,1587
Cómo sobrevivir a una despedida,movie,Comedy,2015,4.5,1119
The Last Adventure,movie,Drama,1974,5.6,240
It's a Woman's War,movie,"Comedy, Musical",1971,5.1,106
Mechanic: Resurrection,movie,"Action, Adventure, Thriller",2016,5.7,97558
Broken Vows,movie,"Drama, Thriller",2014,4.4,2381
Love's Whirlpool,movie,"Drama, Romance",2014,6.3,519
The Duke Wore Jeans,movie,"Comedy, Musical",1958,5,117
Chain of Events,movie,"Drama, Thriller",1958,6.4,376
The Solitary Child,movie,"Crime, Drama, Mystery",1958,5.8,130
Le mille-pattes fait des claquettes,movie,Comedy,1977,5.5,137
He Never Died,movie,"Comedy, Drama, Fantasy",2015,6.3,22776
Noi donne siamo fatte così,movie,Comedy,1971,6.2,212
The Bellman,movie,"Crime, Drama, Horror",1945,6.4,197
The Remaining,movie,"Drama, Fantasy, Horror",2014,4.3,9302
For the Emperor,movie,"Action, Crime",2014,5.7,826
Sigaram Thodu,movie,"Action, Thriller",2014,6.2,510
Insidious: Chapter 3,movie,"Horror, Mystery, Thriller",2015,6.1,122995
Beverly Hills Cop: Axel F,movie,"Action, Comedy, Crime",2024,6.4,79991
The Lego Movie 2: The Second Part,movie,"Adventure, Animation, Comedy",2019,6.5,80368
Pandurangadu,movie,"Drama, Fantasy",2008,3.5,1194
The Greatest Thing,movie,"Drama, History, Romance",2001,6.1,304
Kick,movie,"Action, Comedy, Crime",2014,6,73942
Haider,movie,"Crime, Drama, Thriller",2014,8,59149
Ma ma,movie,Drama,2015,6.4,4872
The Teacher's Diary,movie,"Comedy, Drama, Romance",2014,7.8,2855
The Nortull Gang,movie,Comedy,1923,6.5,187
Mr. Holmes,movie,"Crime, Drama, Family",2015,6.8,69172
Iris 2: The Movie,movie,"Action, Adventure, Crime",2013,5.4,180
I've Gotta Horse,movie,"Comedy, Musical",1965,4.7,125
Next to No Time!,movie,Comedy,1958,5.7,214
The Divine Move,movie,"Action, Crime, Drama",2014,6.6,2680
War for the Planet of the Apes,movie,"Action, Adventure, Drama",2017,7.4,314082
Facet (nie)potrzebny od zaraz,movie,"Comedy, Drama, Music",2014,4.4,402
The Smile of a Child,movie,"Comedy, Drama, Music",1969,4.8,44
Kundo: Age of the Rampant,movie,"Action, Drama",2014,6.8,3990
The Mummy,movie,"Action, Adventure, Fantasy",2017,5.4,213123
My Brilliant Life,movie,Drama,2014,7.2,1070
Parasyte: Part 1,movie,"Action, Drama, Horror",2014,6.8,5682
Parasyte: Part 2,movie,"Action, Drama, Horror",2015,6.5,3427
Brabançonne,movie,Musical,2014,6.1,437
Cowspiracy: The Sustainability Secret,movie,Documentary,2014,8.1,27006
Oh! Happy Day,movie,"Comedy, Drama, Romance",2003,5.2,222
Pizza,movie,"Horror, Mystery, Thriller",2014,6.2,1525
The Admiral: Roaring Currents,movie,"Action, History, War",2014,7.1,13597
She's Dating the Gangster,movie,"Comedy, Drama, Romance",2014,7,1356
Murderer,movie,"Drama, Thriller",2014,5.1,349
Irrational Man,movie,"Comedy, Crime, Drama",2015,6.6,68702
Shadowing the Third Man,movie,Documentary,2004,6.9,273
Kahlil Gibran's The Prophet,movie,"Animation, Drama",2014,7,5158
99 Homes,movie,"Crime, Drama",2014,7.1,39545
Before We Go,movie,"Comedy, Drama, Romance",2014,6.8,66219
Fallen,movie,"Drama, Fantasy, Romance",2016,5.2,17138
Stones for the Rampart,movie,"Drama, War",2014,6.2,1650
Sinister 2,movie,"Horror, Mystery, Thriller",2015,5.3,63594
The Light Between Oceans,movie,"Drama, Romance",2016,7.2,61466
Beasts of No Nation,movie,"Drama, War",2015,7.7,88801
The Secret Scripture,movie,"Drama, Romance",2016,6.7,9101
3 Hearts,movie,"Drama, Romance",2014,5.9,2679
Black Souls,movie,"Crime, Drama",2014,6.8,3233
The Intruder,movie,"Drama, War",1953,6.7,481
Fate/stay night [Heaven's Feel] I. presage flower,movie,"Action, Adventure, Animation",2017,7.4,3955
All the Way Up,movie,Comedy,1970,4.5,147
Confession,movie,"Drama, Thriller",2014,6.5,599
Last Floor,movie,"Drama, Thriller",2013,5.1,157
Børning,movie,"Action, Comedy",2014,6.2,5430
Mary Kom,movie,"Action, Biography, Drama",2014,6.8,11721
Still Alice,movie,Drama,2014,7.5,146700
Top Five,movie,"Comedy, Romance",2014,6.4,28067
They Have Escaped,movie,"Drama, Mystery",2014,6.2,1064
No Place for Jennifer,movie,Drama,1950,6.6,141
Third Is My First,movie,"Comedy, Drama, Romance",2014,7.1,66
Tour de Force,movie,"Comedy, Drama",2014,7.2,2132
Break Up 100,movie,"Comedy, Romance",2014,5.8,316
Bear Island,movie,"Action, Adventure, Documentary",2014,6.9,220
The Pirates,movie,"Action, Adventure, Comedy",2014,6.5,4743
The Janitor,movie,"Action, Crime, Drama",2014,5.5,67
10 000 timmar,movie,Comedy,2014,4.4,1209
Three Brothers,movie,"Comedy, Family, Fantasy",2014,5.6,560
One Way Ticket,movie,"Crime, Drama",1971,6,225
My Own Man,movie,"Comedy, Documentary, Drama",2014,6.4,470
I Am the Keeper,movie,"Drama, Romance",2014,7.1,477
The Walk,movie,"Adventure, Biography, Drama",2015,7.3,138137
Doraemon: New Nobita's Great Demon-Peko and the Exploration Party of Five,movie,"Action, Adventure, Animation",2014,6.9,1420
October Gale,movie,"Drama, Mystery, Romance",2014,5.2,2545
Amrutham Chandamama Lo,movie,"Adventure, Comedy, Fantasy",2014,5.6,115
Comic 8,movie,"Action, Comedy, Crime",2014,6.8,1113
12 Lotus,movie,Drama,2008,5.8,120
Two for the Girl,movie,"Action, Adventure",2009,6.3,203
"All's Well, Ends Well Too",movie,"Comedy, Romance",1993,6.2,546
Alone Man,movie,"Drama, Romance, Sci-Fi",2016,6.3,150
Rumble,movie,Action,2016,3.7,322
Mission Blue,movie,"Documentary, Drama",2014,7.9,2190
5 Flights Up,movie,"Comedy, Drama",2014,6.2,11421
Max Steel,movie,"Action, Adventure, Fantasy",2016,4.6,21057
Dumb But Disciplined,movie,Comedy,1979,4.5,192
Northmen: A Viking Saga,movie,"Action, Drama, History",2014,5.4,10951
Paper Planes,movie,"Drama, Family",2014,6.2,4868
Father of Four - The Return of Uncle Sofus,movie,"Comedy, Family",2014,3.8,151
The Grump,movie,"Comedy, Drama",2014,6.7,3072
Kabukicho Love Hotel,movie,"Drama, Romance",2014,6.9,868
Margarita with a Straw,movie,"Crime, Drama",2014,7.2,4204
Mano po III: My Love,movie,"Drama, Romance",2004,5.8,70
Cart,movie,Drama,2014,6.7,1192
Scarlet Innocence,movie,"Drama, Romance, Thriller",2014,5.9,1673
Café. Waiting. Love,movie,"Comedy, Drama, Fantasy",2014,6.5,1648
Raja Natwarlal,movie,"Crime, Thriller",2014,6.2,4653
Shazam!,movie,"Action, Adventure, Comedy",2019,7,397860
The Transporter Refueled,movie,"Action, Thriller",2015,5.2,46154
Sleeping with Other People,movie,"Comedy, Drama, Romance",2015,6.5,49653
Blue Mountain State: The Rise of Thadland,movie,"Comedy, Sport",2016,5.7,17318
A Choo,movie,"Action, Comedy, Fantasy",2020,5.5,466
The Second Twin,movie,"Crime, Drama, Mystery",1966,6,181
Medicinen,movie,"Comedy, Drama",2014,5.7,1286
Chagall-Malevich,movie,"Biography, Drama, History",2014,6,132
Poor Millionaires,movie,Comedy,1959,6.1,328
"Sex, Love & Therapy",movie,"Comedy, Romance",2014,5.4,2426
The Zookeeper's Wife,movie,"Biography, Drama, History",2017,7,48095
Jim Jefferies: BARE,movie,Comedy,2014,8,5939
Het sacrament,movie,"Comedy, Drama",1989,6.3,288
Grace: The Possession,movie,"Horror, Thriller",2014,4.6,3994
Operation Rogue,movie,"Action, Crime, Thriller",2014,4.4,777
The Rewrite,movie,"Comedy, Romance",2014,6.3,23077
Winterkartoffelknödel,movie,"Comedy, Crime",2014,6.9,2594
Modern Boy,movie,Drama,2008,6,200
The Handmaiden,movie,"Drama, Romance, Thriller",2016,8.1,185605
Man on the Run,movie,"Crime, Drama, Thriller",1949,6.7,492
The Nice Guys,movie,"Action, Comedy, Crime",2016,7.4,391114
One Piece: 3D2Y - Overcome Ace's Death! Luffy's Vow to His Friends,movie,"Action, Adventure, Animation",2014,7.5,2071
A Free Woman,movie,Drama,1972,7,224
The Mountain Between Us,movie,"Drama, Thriller",2017,6.4,85629
The Huntsman: Winter's War,movie,"Action, Adventure, Drama",2016,6.1,123076
"I, Superbiker: The War for Four",movie,"Documentary, Sport",2014,4,42
Never Die Young,movie,"Documentary, Drama",2013,6.5,131
Sniper: Legacy,movie,"Action, Drama, Thriller",2014,5.3,6349
Miss You Already,movie,"Comedy, Drama, Romance",2015,6.8,20287
Tracers,movie,"Action, Crime, Drama",2015,5.6,20437
Court,movie,Drama,2014,7.6,5505
Terminator: Dark Fate,movie,"Action, Adventure, Sci-Fi",2019,6.2,202473
Man for a Day,movie,Documentary,2012,7,90
Kung Fu Jungle,movie,"Action, Crime, Thriller",2014,6.4,12358
Tazza: The Hidden Card,movie,"Crime, Drama",2014,6.8,2789
Image,movie,Thriller,2014,6.4,1343
Red Riding: The Year of Our Lord 1974,movie,"Crime, Drama, History",2009,6.9,14387
Red Riding: The Year of Our Lord 1980,movie,"Crime, Drama, History",2009,7.1,9993
Red Riding: The Year of Our Lord 1983,movie,"Crime, Drama, History",2009,7.1,8687
Bevor der letzte Vorhang fällt,movie,"Documentary, Musical",2014,7.4,102
Khoobsurat,movie,"Comedy, Romance",2014,6.4,9357
The Family Fang,movie,"Comedy, Drama, Mystery",2015,6.1,10293
Unlocked,movie,"Action, Thriller",2017,6.3,39682
Rules Don't Apply,movie,"Comedy, Drama, Romance",2016,5.7,11919
Nowitzki: The Perfect Shot,movie,"Biography, Documentary, Sport",2014,7.5,2242
Mad Dogs,movie,"Comedy, Drama, Sci-Fi",2002,4,288
Within,movie,"Horror, Thriller",2016,5.1,8049
Assassination,movie,"Action, Drama, Thriller",2015,7.2,8346
Farewells,movie,Drama,1966,5.8,95
Now You See Me 2,movie,"Action, Adventure, Comedy",2016,6.4,334933
Dirty Grandpa,movie,Comedy,2016,5.9,137329
Richard Jewell,movie,"Biography, Crime, Drama",2019,7.5,102118
Tempestad,movie,Documentary,2016,7.8,950
20 Rules!,movie,"Comedy, Romance",2014,5.9,54
100,movie,Drama,2008,7.9,81
My Dog Dou Dou,movie,Drama,2012,6,18
Daddy,movie,Documentary,2004,7.6,194
Killing Dad or How to Love Your Mother,movie,Comedy,1989,4.4,277
The Swimmers,movie,"Drama, Horror, Mystery",2014,5.7,819
Negociador,movie,"Comedy, Drama",2014,6.2,971
Flower & Snake: Zero,movie,"Horror, Thriller",2014,4.6,609
Ring of Treason,movie,"Crime, Drama, Thriller",1964,6.5,515
One Third,movie,"Crime, Drama",2014,6.3,240
Dabbe 5: Curse of the Jinn,movie,Horror,2014,5.9,4620
Love or Death,movie,Family,2014,5.7,199
Segrt Hlapic,movie,"Adventure, Family",2013,5.4,394
Pallieter,movie,"Drama, Romance",1976,6.2,302
Terror at the Mall,movie,"Documentary, History",2014,8,961
Kong: Skull Island,movie,"Action, Adventure, Fantasy",2017,6.7,361076
Ushijima the Loan Shark,movie,"Crime, Drama",2012,6.1,252
Inside Men,movie,"Action, Crime, Drama",2015,7,4379
The Disappointments Room,movie,"Drama, Horror, Thriller",2016,3.9,11111
Filmed in Supermarionation,movie,"Documentary, History",2014,7.4,553
The 33,movie,"Biography, Drama, History",2015,6.9,40575
The Wailing,movie,"Drama, Horror",2016,7.4,89673
The Lady with a Lamp,movie,"Drama, History, War",1951,6.4,242
Billy Lynn's Long Halftime Walk,movie,"Action, Drama, Sport",2016,6.2,24573
Kidnap,movie,"Action, Crime, Thriller",2017,5.9,40061
The Quiet Hour,movie,"Drama, Sci-Fi, Thriller",2014,4.6,1692
The Final Girls,movie,"Comedy, Fantasy, Horror",2015,6.5,54369
Warsaw 44,movie,"Drama, History, Romance",2014,6.6,6972
The Boy with the Golden Pants,movie,"Adventure, Family, Fantasy",2014,5.4,918
Ending Note: Death of a Japanese Salaryman,movie,Documentary,2011,7.3,107
"Anche se volessi lavorare, che faccio?",movie,Comedy,1972,5.7,108
Lou! Journal infime,movie,Comedy,2014,6.1,665
Pale Moon,movie,Drama,2014,6.9,979
Little Forest: Summer/Autumn,movie,Drama,2014,7.6,3687
Dummie the Mummy and the Golden Scarabee,movie,"Adventure, Comedy, Family",2014,5.9,382
Patria,movie,"Drama, History, War",2014,5.1,317
Bone Tomahawk,movie,"Drama, Horror, Western",2015,7.1,129009
Rise of the Legend,movie,"Action, Biography, Drama",2014,6.4,4527
Patient Zero,movie,"Action, Drama, Horror",2018,4.6,10604
Let It Snow,movie,"Comedy, Romance",2019,5.9,25998
The Midnight Horror Show,movie,Horror,2014,3.3,678
Blue Lips,movie,Drama,2014,6.6,89
23 Blast,movie,"Drama, Sport",2014,6.4,2504
The Boss Baby,movie,"Adventure, Animation, Comedy",2017,6.3,148246
Everybody Wants Some!!,movie,Comedy,2016,6.9,62185
Servant's Entrance,movie,Comedy,1932,6.2,147
PBTB E-San Indy,movie,Comedy,2014,6.5,23
Coming Soon,movie,"Comedy, Drama, Romance",2014,7.3,36468
Operation Ragnarok,movie,"Action, Drama, Sci-Fi",2018,3.1,669
Hollywood Banker,movie,"Biography, Documentary, Family",2014,7.2,302
Unique Brothers,movie,"Comedy, Romance",2014,5.6,905
Brotherly Love,movie,Drama,2015,6.5,2190
Burnt,movie,"Comedy, Drama",2015,6.6,137410
Vacation,movie,"Adventure, Comedy",2015,6.2,126163
The Night Before,movie,"Comedy, Fantasy",2015,6.4,86391
(Sex) Appeal,movie,"Drama, Romance",2014,6.3,140
Eye of the Sun,movie,Drama,2008,6.7,128
Deepwater Horizon,movie,"Action, Drama, History",2016,7.1,190126
Whistle Blower,movie,"Crime, Drama, Mystery",2014,6.8,662
A Matter of Interpretation,movie,Drama,2014,6.6,90
Black & White: The Dawn of Justice,movie,"Action, Comedy, Crime",2014,5.6,715
El Jeremías,movie,"Comedy, Drama, Family",2015,7.2,1316
Psycho-Pass: The Movie,movie,"Action, Animation, Crime",2015,7.1,4736
Uganda Be Kidding Me Live,movie,Comedy,2014,6,1272
PK,movie,"Comedy, Drama, Sci-Fi",2014,8.1,209326
Fashion King,movie,"Drama, Romance",2014,5.3,389
Eiffel... I'm in Love,movie,"Comedy, Romance",2003,6.3,766
Mendadak Dangdut,movie,"Comedy, Drama, Music",2006,6.5,124
Katy Perry: Getting Intimate,movie,"Biography, Documentary, Music",2014,5.5,114
So It's You,movie,"Comedy, Romance",2014,6.8,50
Adormidera,movie,"Action, Adventure, Fantasy",2013,3.6,605
Sebastian Maniscalco: Aren't You Embarrassed?,movie,"Comedy, Documentary",2014,7.7,1421
"My Love, My Bride",movie,"Comedy, Romance",2014,6.4,855
Dying of the Light,movie,"Action, Drama, Thriller",2014,4.5,11862
Gangnam 1970,movie,"Action, Crime, Drama",2015,6.2,2227
Suicide Squad,movie,"Action, Adventure, Fantasy",2016,5.9,738069
Wonder Woman,movie,"Action, Adventure, Fantasy",2017,7.3,715931
Aquaman,movie,"Action, Adventure, Fantasy",2018,6.8,535321
I Saw the Light,movie,"Biography, Drama, Music",2015,5.8,8520
Poule et frites,movie,Comedy,1987,3.2,83
Jigsaw,movie,"Horror, Mystery, Thriller",2017,5.7,97493
Brincante,movie,Documentary,2014,7.7,27
The Dressmaker,movie,"Comedy, Drama, Western",2015,7,68296
The Price of Crime,movie,"Biography, Crime, Drama",2014,5.9,579
Next Time I'll Aim for the Heart,movie,"Crime, Drama, Thriller",2014,6.4,3347
Wyatt Cenac: Brooklyn,movie,Comedy,2014,6.3,253
A Belle for Christmas,movie,"Comedy, Drama, Family",2014,4.7,590
The Flash,movie,"Action, Adventure, Fantasy",2023,6.6,229724
Do You See Me?,movie,"Comedy, Drama, Romance",2014,6.4,2861
The Expendables 4,movie,"Action, Adventure, Thriller",2023,4.8,48798
Chasing the Sun,movie,Drama,2004,7.3,275
Looking for Sophia,movie,Documentary,2004,6.2,127
Christmas Under Wraps,movie,"Comedy, Drama, Romance",2014,6.2,6678
Sluzby specjalne,movie,"Action, Crime, Drama",2014,6.3,2014
The 5th Wave,movie,"Action, Adventure, Sci-Fi",2016,5.2,120917
The Other Side of the Wind,movie,Drama,2018,6.7,8262
Life,movie,"Biography, Drama",2015,6,9122
Cykelmyggen og minibillen,movie,"Animation, Fantasy, Musical",2014,5.5,45
Last to Know,movie,Documentary,2006,6.8,62
Borley Rectory,movie,"Animation, Drama, Horror",2017,5.7,584
Abo Ali,movie,"Comedy, Romance",2005,6.6,2705
The Ghost,movie,"Action, Crime, Mystery",2007,6.6,1266
Private Alexandria,movie,"Crime, Drama, Mystery",2005,7.1,2155
The Con Artists,movie,"Action, Crime, Drama",2014,6.5,1778
Set Me Free,movie,Drama,2014,6.6,203
Ahora o nunca,movie,"Comedy, Romance",2015,5.2,2963
Capture the Flag,movie,"Adventure, Animation, Comedy",2015,5.8,4222
Leatherface,movie,"Crime, Horror, Thriller",2017,5,29420
Annihilation,movie,"Adventure, Drama, Horror",2018,6.8,376544
Don't Breathe,movie,"Crime, Horror, Thriller",2016,7.1,315792
13 Hours: The Secret Soldiers of Benghazi,movie,"Action, Drama, History",2016,7.3,170050
Replicas,movie,"Action, Drama, Sci-Fi",2018,5.5,43490
Same Kind of Different as Me,movie,"Biography, Drama",2017,6.6,8819
Truth,movie,"Biography, Drama, History",2015,6.8,21829
Ritratti di surf,movie,"Action, Documentary",2012,7.7,12
The Franchise Affair,movie,"Crime, Drama, Mystery",1951,7.1,438
Close Range Love,movie,"Drama, Romance",2014,6.2,2119
Hot Road,movie,"Drama, Romance",2014,5.6,288
Eric Clapton: The 1970s Review,movie,"Documentary, Music",2014,7,145
Ghabi Minnuh Fih,movie,"Adventure, Comedy, Crime",2004,6.3,1855
Andiamo a quel paese,movie,Comedy,2014,6.1,1283
We Are Your Friends,movie,"Drama, Music, Romance",2015,6.2,41499
